[15:06:16] row item excel ke-3, column ke-10
[15:06:22] row item excel ke-9, column ke-6
[15:06:22] row item excel ke-9, column ke-7
[15:06:22] row item excel ke-9, column ke-8
[15:06:22] row item excel ke-9, column ke-9
[15:06:22] row item excel ke-9, column ke-10
[15:06:22] row item excel ke-9, column ke-11
[15:06:22] row item excel ke-9, column ke-12
[15:06:22] row item excel ke-9, column ke-13
[15:06:22] row item excel ke-9, column ke-14
[15:06:22] row item excel ke-9, column ke-15
[15:06:22] row item excel ke-9, column ke-16
[15:06:22] row item excel ke-9, column ke-17
[15:06:22] row item excel ke-9, column ke-18
[15:06:22] row item excel ke-9, column ke-19
[15:06:22] row item excel ke-9, column ke-20
[15:06:22] row item excel ke-9, column ke-21
[15:06:22] row item excel ke-9, column ke-22
[15:06:22] row item excel ke-9, column ke-23
[15:06:22] row item excel ke-9, column ke-24
[15:06:22] row item excel ke-9, column ke-25
[15:06:22] row item excel ke-10, column ke-0
[15:06:22] row item excel ke-10, column ke-1
[15:06:22] row item excel ke-10, column ke-2
[15:06:22] row item excel ke-10, column ke-3
[15:06:22] row item excel ke-10, column ke-4
[15:06:22] row item excel ke-10, column ke-5
[15:06:22] row item excel ke-10, column ke-6
[15:06:22] row item excel ke-10, column ke-7
[15:06:22] row item excel ke-10, column ke-8
[15:06:22] row item excel ke-10, column ke-9
[15:06:22] row item excel ke-10, column ke-10
[15:06:22] row item excel ke-10, column ke-11
[15:06:22] row item excel ke-10, column ke-12
[15:06:22] row item excel ke-10, column ke-13
[15:06:22] row item excel ke-10, column ke-14
[15:06:22] row item excel ke-10, column ke-15
[15:06:22] row item excel ke-10, column ke-16
[15:06:22] row item excel ke-10, column ke-17
[15:06:22] row item excel ke-10, column ke-18
[15:06:22] row item excel ke-10, column ke-19
[15:06:22] row item excel ke-10, column ke-20
[15:06:22] row item excel ke-10, column ke-21
[15:06:22] row item excel ke-10, column ke-22
[15:06:22] row item excel ke-10, column ke-23
[15:06:22] row item excel ke-10, column ke-24
[15:06:22] row item excel ke-10, column ke-25
[15:06:22] row item excel ke-11, column ke-0
[15:06:22] row item excel ke-11, column ke-1
[15:06:22] row item excel ke-11, column ke-2
[15:06:22] row item excel ke-11, column ke-3
[15:06:22] row item excel ke-11, column ke-4
[15:06:22] row item excel ke-11, column ke-5
[15:06:22] row item excel ke-11, column ke-6
[15:06:22] row item excel ke-11, column ke-7
[15:06:22] row item excel ke-11, column ke-8
[15:06:22] row item excel ke-11, column ke-9
[15:06:22] row item excel ke-11, column ke-10
[15:06:22] row item excel ke-11, column ke-11
[15:06:22] row item excel ke-11, column ke-12
[15:06:22] row item excel ke-11, column ke-13
[15:06:22] row item excel ke-11, column ke-14
[15:06:22] row item excel ke-11, column ke-15
[15:06:22] row item excel ke-11, column ke-16
[15:06:22] row item excel ke-11, column ke-17
[15:06:22] row item excel ke-11, column ke-18
[15:06:22] row item excel ke-11, column ke-19
[15:06:22] row item excel ke-11, column ke-20
[15:06:22] row item excel ke-11, column ke-21
[15:06:22] row item excel ke-11, column ke-22
[15:06:22] row item excel ke-11, column ke-23
[15:06:22] row item excel ke-11, column ke-24
[15:06:22] row item excel ke-11, column ke-25
[15:06:22] row item excel ke-12, column ke-0
[15:06:22] row item excel ke-12, column ke-1
[15:06:22] row item excel ke-12, column ke-2
[15:06:22] row item excel ke-12, column ke-3
[15:06:22] row item excel ke-12, column ke-4
[15:06:22] row item excel ke-12, column ke-5
[15:06:22] row item excel ke-12, column ke-6
[15:06:22] row item excel ke-12, column ke-7
[15:06:22] row item excel ke-12, column ke-8
[15:06:22] row item excel ke-12, column ke-9
[15:06:22] row item excel ke-12, column ke-10
[15:06:22] row item excel ke-12, column ke-11
[15:06:22] row item excel ke-12, column ke-12
[15:06:22] row item excel ke-12, column ke-13
[15:06:22] row item excel ke-12, column ke-14
[15:06:22] row item excel ke-12, column ke-15
[15:06:22] row item excel ke-12, column ke-16
[15:06:22] row item excel ke-12, column ke-17
[15:06:22] row item excel ke-12, column ke-18
[15:06:22] row item excel ke-12, column ke-19
[15:06:22] row item excel ke-12, column ke-20
[15:06:22] row item excel ke-12, column ke-21
[15:06:22] row item excel ke-12, column ke-22
[15:06:22] row item excel ke-12, column ke-23
[15:06:22] row item excel ke-12, column ke-24
[15:06:22] row item excel ke-12, column ke-25
[15:06:22] row item excel ke-13, column ke-0
[15:06:22] row item excel ke-13, column ke-1
[15:06:22] row item excel ke-13, column ke-2
[15:06:22] row item excel ke-13, column ke-3
[15:06:22] row item excel ke-13, column ke-4
[15:06:22] row item excel ke-13, column ke-5
[15:06:22] row item excel ke-13, column ke-6
[15:06:22] row item excel ke-13, column ke-7
[15:06:22] row item excel ke-13, column ke-8
[15:06:22] row item excel ke-13, column ke-9
[15:06:22] row item excel ke-13, column ke-10
[15:06:22] row item excel ke-13, column ke-11
[15:06:22] row item excel ke-13, column ke-12
[15:06:22] row item excel ke-13, column ke-13
[15:06:22] row item excel ke-13, column ke-14
[15:06:22] row item excel ke-13, column ke-15
[15:06:22] row item excel ke-13, column ke-16
[15:06:22] row item excel ke-13, column ke-17
[15:06:22] row item excel ke-13, column ke-18
[15:06:22] row item excel ke-13, column ke-19
[15:06:22] row item excel ke-13, column ke-20
[15:06:22] row item excel ke-13, column ke-21
[15:06:22] row item excel ke-13, column ke-22
[15:06:22] row item excel ke-13, column ke-23
[15:06:22] row item excel ke-13, column ke-24
[15:06:22] row item excel ke-13, column ke-25
[15:06:22] row item excel ke-14, column ke-0
[15:06:22] row item excel ke-14, column ke-1
[15:06:22] row item excel ke-14, column ke-2
[15:06:22] row item excel ke-14, column ke-3
[15:06:22] row item excel ke-14, column ke-4
[15:06:22] row item excel ke-14, column ke-5
[15:06:22] row item excel ke-14, column ke-6
[15:06:22] row item excel ke-14, column ke-7
[15:06:22] row item excel ke-14, column ke-8
[15:06:22] row item excel ke-14, column ke-9
[15:06:22] row item excel ke-14, column ke-10
[15:06:22] row item excel ke-14, column ke-11
[15:06:22] row item excel ke-14, column ke-12
[15:06:22] row item excel ke-14, column ke-13
[15:06:22] row item excel ke-14, column ke-14
[15:06:22] row item excel ke-14, column ke-15
[15:06:22] row item excel ke-14, column ke-16
[15:06:22] row item excel ke-14, column ke-17
[15:06:22] row item excel ke-14, column ke-18
[15:06:22] row item excel ke-14, column ke-19
[15:06:22] row item excel ke-14, column ke-20
[15:06:22] row item excel ke-14, column ke-21
[15:06:22] row item excel ke-14, column ke-22
[15:06:22] row item excel ke-14, column ke-23
[15:06:22] row item excel ke-14, column ke-24
[15:06:22] row item excel ke-14, column ke-25
[15:06:22] row item excel ke-15, column ke-0
[15:06:22] row item excel ke-15, column ke-1
[15:06:22] row item excel ke-15, column ke-2
[15:06:22] row item excel ke-15, column ke-3
[15:06:22] row item excel ke-15, column ke-4
[15:06:22] row item excel ke-15, column ke-5
[15:06:22] row item excel ke-15, column ke-6
[15:06:22] row item excel ke-15, column ke-7
[15:06:22] row item excel ke-15, column ke-8
[15:06:22] row item excel ke-15, column ke-9
[15:06:22] row item excel ke-15, column ke-10
[15:06:22] row item excel ke-15, column ke-11
[15:06:22] row item excel ke-15, column ke-12
[15:06:22] row item excel ke-15, column ke-13
[15:06:22] row item excel ke-15, column ke-14
[15:06:22] row item excel ke-15, column ke-15
[15:06:22] row item excel ke-15, column ke-16
[15:06:22] row item excel ke-15, column ke-17
[15:06:22] row item excel ke-15, column ke-18
[15:06:22] row item excel ke-15, column ke-19
[15:06:22] row item excel ke-15, column ke-20
[15:06:22] row item excel ke-15, column ke-21
[15:06:22] row item excel ke-15, column ke-22
[15:06:22] row item excel ke-15, column ke-23
[15:06:22] row item excel ke-15, column ke-24
[15:06:22] row item excel ke-15, column ke-25
[15:06:22] row item excel ke-16, column ke-0
[15:06:22] row item excel ke-16, column ke-1
[15:06:22] row item excel ke-16, column ke-2
[15:06:22] row item excel ke-16, column ke-3
[15:06:22] row item excel ke-16, column ke-4
[15:06:22] row item excel ke-16, column ke-5
[15:06:22] row item excel ke-16, column ke-6
[15:06:22] row item excel ke-16, column ke-7
[15:06:22] row item excel ke-16, column ke-8
[15:06:22] row item excel ke-16, column ke-9
[15:06:22] row item excel ke-16, column ke-10
[15:06:22] row item excel ke-16, column ke-11
[15:06:22] row item excel ke-16, column ke-12
[15:06:22] row item excel ke-16, column ke-13
[15:06:22] row item excel ke-16, column ke-14
[15:06:22] row item excel ke-16, column ke-15
[15:06:22] row item excel ke-16, column ke-16
[15:06:22] row item excel ke-16, column ke-17
[15:06:22] row item excel ke-16, column ke-18
[15:06:22] row item excel ke-16, column ke-19
[15:06:22] row item excel ke-16, column ke-20
[15:06:22] row item excel ke-16, column ke-21
[15:06:22] row item excel ke-16, column ke-22
[15:06:22] row item excel ke-16, column ke-23
[15:06:22] row item excel ke-16, column ke-24
[15:06:22] row item excel ke-16, column ke-25
[15:06:22] row item excel ke-17, column ke-0
[15:06:22] row item excel ke-17, column ke-1
[15:06:22] row item excel ke-17, column ke-2
[15:06:22] row item excel ke-17, column ke-3
[15:06:22] row item excel ke-17, column ke-4
[15:06:22] row item excel ke-17, column ke-5
[15:06:22] row item excel ke-17, column ke-6
[15:06:22] row item excel ke-17, column ke-7
[15:06:22] row item excel ke-17, column ke-8
[15:06:22] row item excel ke-17, column ke-9
[15:06:22] row item excel ke-17, column ke-10
[15:06:22] row item excel ke-17, column ke-11
[15:06:22] row item excel ke-17, column ke-12
[15:06:22] row item excel ke-17, column ke-13
[15:06:22] row item excel ke-17, column ke-14
[15:06:22] row item excel ke-17, column ke-15
[15:06:22] row item excel ke-17, column ke-16
[15:06:22] row item excel ke-17, column ke-17
[15:06:22] row item excel ke-17, column ke-18
[15:06:22] row item excel ke-17, column ke-19
[15:06:22] row item excel ke-17, column ke-20
[15:06:22] row item excel ke-17, column ke-21
[15:06:22] row item excel ke-17, column ke-22
[15:06:22] row item excel ke-17, column ke-23
[15:06:22] row item excel ke-17, column ke-24
[15:06:22] row item excel ke-17, column ke-25
[15:06:22] row item excel ke-18, column ke-0
[15:06:22] row item excel ke-18, column ke-1
[15:06:22] row item excel ke-18, column ke-2
[15:06:22] row item excel ke-18, column ke-3
[15:06:22] row item excel ke-18, column ke-4
[15:06:22] row item excel ke-18, column ke-5
[15:06:22] row item excel ke-18, column ke-6
[15:06:22] row item excel ke-18, column ke-7
[15:06:22] row item excel ke-18, column ke-8
[15:06:22] row item excel ke-18, column ke-9
[15:06:22] row item excel ke-18, column ke-10
[15:06:22] row item excel ke-18, column ke-11
[15:06:22] row item excel ke-18, column ke-12
[15:06:22] row item excel ke-18, column ke-13
[15:06:22] row item excel ke-18, column ke-14
[15:06:22] row item excel ke-18, column ke-15
[15:06:22] row item excel ke-18, column ke-16
[15:06:22] row item excel ke-18, column ke-17
[15:06:22] row item excel ke-18, column ke-18
[15:06:22] row item excel ke-18, column ke-19
[15:06:22] row item excel ke-18, column ke-20
[15:06:22] row item excel ke-18, column ke-21
[15:06:22] row item excel ke-18, column ke-22
[15:06:22] row item excel ke-18, column ke-23
[15:06:22] row item excel ke-18, column ke-24
[15:06:22] row item excel ke-18, column ke-25
[15:06:22] row item excel ke-19, column ke-0
[15:06:22] row item excel ke-19, column ke-1
[15:06:22] row item excel ke-19, column ke-2
[15:06:22] row item excel ke-19, column ke-3
[15:06:22] row item excel ke-19, column ke-4
[15:06:22] row item excel ke-19, column ke-5
[15:06:22] row item excel ke-19, column ke-6
[15:06:22] row item excel ke-19, column ke-7
[15:06:22] row item excel ke-19, column ke-8
[15:06:22] row item excel ke-19, column ke-9
[15:06:22] row item excel ke-19, column ke-10
[15:06:22] row item excel ke-19, column ke-11
[15:06:22] row item excel ke-19, column ke-12
[15:06:22] row item excel ke-19, column ke-13
[15:06:22] row item excel ke-19, column ke-14
[15:06:22] row item excel ke-19, column ke-15
[15:06:22] row item excel ke-19, column ke-16
[15:06:22] row item excel ke-19, column ke-17
[15:06:22] row item excel ke-19, column ke-18
[15:06:22] row item excel ke-19, column ke-19
[15:06:22] row item excel ke-19, column ke-20
[15:06:22] row item excel ke-19, column ke-21
[15:06:22] row item excel ke-19, column ke-22
[15:06:22] row item excel ke-19, column ke-23
[15:06:22] row item excel ke-19, column ke-24
[15:06:22] row item excel ke-19, column ke-25
[15:06:22] row item excel ke-20, column ke-0
[15:06:22] row item excel ke-20, column ke-1
[15:06:22] row item excel ke-20, column ke-2
[15:06:22] row item excel ke-20, column ke-3
[15:06:22] row item excel ke-20, column ke-4
[15:06:22] row item excel ke-20, column ke-5
[15:06:22] row item excel ke-20, column ke-6
[15:06:22] row item excel ke-20, column ke-7
[15:06:22] row item excel ke-20, column ke-8
[15:06:22] row item excel ke-20, column ke-9
[15:06:22] row item excel ke-20, column ke-10
[15:06:22] row item excel ke-20, column ke-11
[15:06:22] row item excel ke-20, column ke-12
[15:06:22] row item excel ke-20, column ke-13
[15:06:22] row item excel ke-20, column ke-14
[15:06:22] row item excel ke-20, column ke-15
[15:06:22] row item excel ke-20, column ke-16
[15:06:22] row item excel ke-20, column ke-17
[15:06:22] row item excel ke-20, column ke-18
[15:06:22] row item excel ke-20, column ke-19
[15:06:22] row item excel ke-20, column ke-20
[15:06:22] row item excel ke-20, column ke-21
[15:06:22] row item excel ke-20, column ke-22
[15:06:22] row item excel ke-20, column ke-23
[15:06:22] row item excel ke-20, column ke-24
[15:06:22] row item excel ke-20, column ke-25
[15:06:22] row item excel ke-21, column ke-0
[15:06:22] row item excel ke-21, column ke-1
[15:06:22] row item excel ke-21, column ke-2
[15:06:22] row item excel ke-21, column ke-3
[15:06:22] row item excel ke-21, column ke-4
[15:06:22] row item excel ke-21, column ke-5
[15:06:22] row item excel ke-21, column ke-6
[15:06:22] row item excel ke-21, column ke-7
[15:06:22] row item excel ke-21, column ke-8
[15:06:22] row item excel ke-21, column ke-9
[15:06:22] row item excel ke-21, column ke-10
[15:06:22] row item excel ke-21, column ke-11
[15:06:22] row item excel ke-21, column ke-12
[15:06:22] row item excel ke-21, column ke-13
[15:06:22] row item excel ke-21, column ke-14
[15:06:22] row item excel ke-21, column ke-15
[15:06:22] row item excel ke-21, column ke-16
[15:06:22] row item excel ke-21, column ke-17
[15:06:22] row item excel ke-21, column ke-18
[15:06:22] row item excel ke-21, column ke-19
[15:06:22] row item excel ke-21, column ke-20
[15:06:22] row item excel ke-21, column ke-21
[15:06:22] row item excel ke-21, column ke-22
[15:06:22] row item excel ke-21, column ke-23
[15:06:22] row item excel ke-21, column ke-24
[15:06:22] row item excel ke-21, column ke-25
[15:06:22] row item excel ke-22, column ke-0
[15:06:22] row item excel ke-22, column ke-1
[15:06:22] row item excel ke-22, column ke-2
[15:06:22] row item excel ke-22, column ke-3
[15:06:22] row item excel ke-22, column ke-4
[15:06:22] row item excel ke-22, column ke-5
[15:06:22] row item excel ke-22, column ke-6
[15:06:22] row item excel ke-22, column ke-7
[15:06:22] row item excel ke-22, column ke-8
[15:06:22] row item excel ke-22, column ke-9
[15:06:22] row item excel ke-22, column ke-10
[15:06:22] row item excel ke-22, column ke-11
[15:06:22] row item excel ke-22, column ke-12
[15:06:22] row item excel ke-22, column ke-13
[15:06:22] row item excel ke-22, column ke-14
[15:06:22] row item excel ke-22, column ke-15
[15:06:22] row item excel ke-22, column ke-16
[15:06:22] row item excel ke-22, column ke-17
[15:06:22] row item excel ke-22, column ke-18
[15:06:22] row item excel ke-22, column ke-19
[15:06:22] row item excel ke-22, column ke-20
[15:06:22] row item excel ke-22, column ke-21
[15:06:22] row item excel ke-22, column ke-22
[15:06:22] row item excel ke-22, column ke-23
[15:06:22] row item excel ke-22, column ke-24
[15:06:22] row item excel ke-22, column ke-25
[15:06:22] row item excel ke-23, column ke-0
[15:06:22] row item excel ke-23, column ke-1
[15:06:22] row item excel ke-23, column ke-2
[15:06:22] row item excel ke-23, column ke-3
[15:06:22] row item excel ke-23, column ke-4
[15:06:22] row item excel ke-23, column ke-5
[15:06:22] row item excel ke-23, column ke-6
[15:06:22] row item excel ke-23, column ke-7
[15:06:22] row item excel ke-23, column ke-8
[15:06:22] row item excel ke-23, column ke-9
[15:06:22] row item excel ke-23, column ke-10
[15:06:22] row item excel ke-23, column ke-11
[15:06:22] row item excel ke-23, column ke-12
[15:06:22] row item excel ke-23, column ke-13
[15:06:22] row item excel ke-23, column ke-14
[15:06:22] row item excel ke-23, column ke-15
[15:06:22] row item excel ke-23, column ke-16
[15:06:22] row item excel ke-23, column ke-17
[15:06:22] row item excel ke-23, column ke-18
[15:06:22] row item excel ke-23, column ke-19
[15:06:22] row item excel ke-23, column ke-20
[15:06:22] row item excel ke-23, column ke-21
[15:06:22] row item excel ke-23, column ke-22
[15:06:22] row item excel ke-23, column ke-23
[15:06:22] row item excel ke-23, column ke-24
[15:06:22] row item excel ke-23, column ke-25
[15:06:22] row item excel ke-24, column ke-0
[15:06:22] row item excel ke-24, column ke-1
[15:06:22] row item excel ke-24, column ke-2
[15:06:22] row item excel ke-24, column ke-3
[15:06:22] row item excel ke-24, column ke-4
[15:06:22] row item excel ke-24, column ke-5
[15:06:22] row item excel ke-24, column ke-6
[15:06:22] row item excel ke-24, column ke-7
[15:06:22] row item excel ke-24, column ke-8
[15:06:22] row item excel ke-24, column ke-9
[15:06:22] row item excel ke-24, column ke-10
[15:06:22] row item excel ke-24, column ke-11
[15:06:22] row item excel ke-24, column ke-12
[15:06:22] row item excel ke-24, column ke-13
[15:06:22] row item excel ke-24, column ke-14
[15:06:22] row item excel ke-24, column ke-15
[15:06:22] row item excel ke-24, column ke-16
[15:06:22] row item excel ke-24, column ke-17
[15:06:22] row item excel ke-24, column ke-18
[15:06:22] row item excel ke-24, column ke-19
[15:06:22] row item excel ke-24, column ke-20
[15:06:22] row item excel ke-24, column ke-21
[15:06:22] row item excel ke-24, column ke-22
[15:06:22] row item excel ke-24, column ke-23
[15:06:22] row item excel ke-24, column ke-24
[15:06:22] row item excel ke-24, column ke-25
[15:06:22] row item excel ke-25, column ke-0
[15:06:22] row item excel ke-25, column ke-1
[15:06:22] row item excel ke-25, column ke-2
[15:06:22] row item excel ke-25, column ke-3
[15:06:22] row item excel ke-25, column ke-4
[15:06:22] row item excel ke-25, column ke-5
[15:06:22] row item excel ke-25, column ke-6
[15:06:22] row item excel ke-25, column ke-7
[15:06:22] row item excel ke-25, column ke-8
[15:06:22] row item excel ke-25, column ke-9
[15:06:22] row item excel ke-25, column ke-10
[15:06:22] row item excel ke-25, column ke-11
[15:06:22] row item excel ke-25, column ke-12
[15:06:22] row item excel ke-25, column ke-13
[15:06:22] row item excel ke-25, column ke-14
[15:06:22] row item excel ke-25, column ke-15
[15:06:22] row item excel ke-25, column ke-16
[15:06:22] row item excel ke-25, column ke-17
[15:06:22] row item excel ke-25, column ke-18
[15:06:22] row item excel ke-25, column ke-19
[15:06:22] row item excel ke-25, column ke-20
[15:06:22] row item excel ke-25, column ke-21
[15:06:22] row item excel ke-25, column ke-22
[15:06:22] row item excel ke-25, column ke-23
[15:06:22] row item excel ke-25, column ke-24
[15:06:22] row item excel ke-25, column ke-25
[15:06:22] row item excel ke-26, column ke-0
[15:06:22] row item excel ke-26, column ke-1
[15:06:22] row item excel ke-26, column ke-2
[15:06:22] row item excel ke-26, column ke-3
[15:06:22] row item excel ke-26, column ke-4
[15:06:22] row item excel ke-26, column ke-5
[15:06:22] row item excel ke-26, column ke-6
[15:06:22] row item excel ke-26, column ke-7
[15:06:22] row item excel ke-26, column ke-8
[15:06:22] row item excel ke-26, column ke-9
[15:06:22] row item excel ke-26, column ke-10
[15:06:22] row item excel ke-26, column ke-11
[15:06:22] row item excel ke-26, column ke-12
[15:06:22] row item excel ke-26, column ke-13
[15:06:22] row item excel ke-26, column ke-14
[15:06:22] row item excel ke-26, column ke-15
[15:06:22] row item excel ke-26, column ke-16
[15:06:22] row item excel ke-26, column ke-17
[15:06:22] row item excel ke-26, column ke-18
[15:06:22] row item excel ke-26, column ke-19
[15:06:22] row item excel ke-26, column ke-20
[15:06:22] row item excel ke-26, column ke-21
[15:06:22] row item excel ke-26, column ke-22
[15:06:22] row item excel ke-26, column ke-23
[15:06:22] row item excel ke-26, column ke-24
[15:06:22] row item excel ke-26, column ke-25
[15:06:22] row item excel ke-27, column ke-0
